	0	100	200	300	400	500	600	700	800	900	1000	1100	1200	1300	1400	1500	1600	1700	1800	1900	2000	2100	2200	2300	2400	2500	2600	2700	2800	2900	3000	3100	3200	3300	3400	3500	3600	3700	3800	3900	4000	4100	4200	4300	4400	4500	4600	4700	4800	4900	5000	5100	5200	5300	5400	5500	5600	5700	5800	5900	6000	6100	6200	6300	6400	6500	6600	6700	6750
2200	417.3	417.9	419.4	422.1	425.8	430.6	436.5	443.4	451.4	460.4	470.5	481.6	493.9	507.2	521.6	537	553.5	571.1	589.7	609.4	630.1	652	674.9	698.8	723.9	750	777.2	805.4	834.7	865.1	896.6	929.1	962.7	997.4	1033.2	1070.9	1107.9	1146.9	1186.9	1228.1	1270.3	1313.6	1358	1403.5	1450	1497.7	1546.4	1596.2	1647.1	1699.1	1752.2	1806.4	1861.6	1918	1975.6	2034	2093.7	2154.4	2216.3	2279.3	2343.3	2408.5	2474.8	2542.1	2610.7	2680.3	2751.1	2823	2859.3
2300	459.2	459.7	461.3	464	467.7	472.5	478.4	485.3	493.3	502.4	512.5	523.7	536	549.3	563.8	579.2	595.8	613.4	632.1	651.8	672.7	694.6	717.5	741.6	766.7	792.9	820.2	848.5	877.9	908.4	939.9	972.6	1006.3	1041.1	1077	1113.9	1152	1191.1	1231.3	1272.5	1314.9	1358.4	1402.9	1448.5	1495.2	1543	1591.9	1641.9	1693	1745.2	1798.4	1852.7	1908.2	1964.8	2022.5	2081.2	2141.1	2202.1	2264.1	2327.3	2391.6	2457	2523.6	2591.2	2660	2729.9	2800.8	2879	2909.5
2400	502.6	503.2	504.8	507.5	511.2	516	521.9	528.9	536.9	546	556.2	567.4	579.7	593.1	607.6	623.1	639.7	657.4	676.1	695.9	716.8	738.8	761.8	786	811.2	837.4	864.8	893.2	922.7	953.3	985	1017.7	1051.5	1086.5	1122.4	1159.5	1197.7	1236.9	1277.3	1318.7	1361.2	1404.8	1449.4	1495.2	1542.1	1590.1	1639.1	1689.3	1740.5	1792.8	1846.3	1900.9	1956.5	2013.3	2071.2	2130.1	2190.2	2251.4	2313.7	2377.1	2441.7	2507.3	2574.1	2642	2711	2781.2	2852.5	2924.4	2961.6
2500	547.7	548.2	549.9	552.6	556.3	561.1	567	574	582.1	591.2	601.4	612.7	625	638.5	653	668.5	685.2	702.9	721.7	741.6	762.6	784.6	807.7	831.8	857.2	883.6	911	939.5	969.1	999.8	1031.6	1064.5	1098.4	1133.4	1159.5	1206.7	1245	1284.4	1324.8	1366.4	1409	1452.8	1497.6	1543.5	1590.6	1638.7	1688	1738.3	1789.7	1842.3	1895.9	1950.6	2006.5	2063.5	2121.5	2180.7	2241	2302.5	2365	2428.7	2493.5	2559.4	2626.4	2694.6	2763.9	2834.4	2905.9	2978.7	3015.4
2600	594.3	594.9	596.5	599.2	603	607.8	613.7	620.7	628.8	638	648.2	659.5	671.9	685.4	700	715.6	732.3	750.1	768.9	788.9	809.9	832	855.2	879.5	904.9	931.3	958.8	987.5	1017.2	1047.9	1079.8	1112.8	1146.8	1182	1218.2	1255.5	1293.9	1333.5	1374.1	1415.8	1458.6	1502.5	1547.4	1593.6	1640.8	1689.1	1738.5	1789	1840.6	1893.3	1947.2	2002.1	2068.2	2115.4	2173.7	2233.1	2293.6	2355.3	2418.1	2482	2547.1	2613.3	2680.6	2749	2818.6	2889.4	2961.3	3034.4	3071.3
2700	642.5	643.1	644.7	647.4	651.2	656.1	662	669	677.1	686.3	696.6	708	720.4	733.9	748.5	764.2	780.9	798.8	817.7	837.7	858.8	881	904.3	928.7	954.1	980.6	1008.3	1037	1066.8	1097.7	1129.7	1162.7	1196.9	1232.2	1268.6	1306	1344.6	1384.2	1424.9	1466.8	1509.8	1553.8	1598	1645.3	1692.6	1741.1	1790.7	1841.4	1893.2	1946.2	2000.2	2055.4	2111.7	2169.1	2227.6	2287.3	2348.1	2410	2473	2537.2	2602.6	2669	2736.6	2805.4	2875.3	2946.4	3018.6	3092	3129.1
2800	692.3	692.9	694.5	697.2	701	705.9	711.9	718.9	727	736.3	746.6	758	770.4	784	798.6	814.4	831.2	849.1	868.1	888.2	909.4	931.6	955	979.4	1005	1031.6	1059.3	1088.1	1118	1149.1	1181.2	1214.4	1248.7	1284.1	1320.5	1358.2	1396.9	1436.7	1477.5	1519.6	1562.7	1606.9	1652.2	1698.7	1746.2	1794.9	1844.7	1895.6	1947.6	2000.8	2055	2110.4	2167	2224.6	2283.4	2343.3	2404.3	2466.5	2529.9	2594.3	2659.9	2726.7	2794.7	2863.7	2933.9	3005.4	3078	3151.8	3189.1
2900	743.7	744.3	745.9	748.6	752.5	757.4	763.3	770.4	778.6	787.8	798.2	809.6	822.1	835.7	850.4	866.2	883.1	901.1	920.1	940.3	961.6	983.8	1007.3	1031.9	1057.5	1084.2	1112.1	1141	1171	1202.1	1234.4	1267.7	1302.1	1337.6	1374.3	1412	1450.8	1490.8	1531.9	1574	1617.3	1661.7	1707.2	1753.9	1801.6	1850.5	1900.5	1954.6	2003.8	2057.2	2111.7	2167.3	2224.1	2228.2	2341	2401.2	2462.6	2525	2588.7	2659.5	2719.4	2786.5	2854.8	2924.2	2994.9				
3000	796.8	797.3	799	801.7	805.5	810.4	814.5	823.6	831.7	841	851.4	862.9	875.4	889.1	903.9	919.7	936.7	954.7	973.8	994.1	1015.4	1037.8	1061.4	1086	1111.7	1138.5	1166.5	1195.5	1225.6	1256.9	1289.2	1322.7	1357.3	1392.9	1429.7	1467.6	1506.6	1546.7	1587.9	1630.3	1673.8	1718.3	1764	1810.9	1858.8	1907.9	1958.1	2009.5	2061.9	2115.5	2170.3	2226.2	2283.2	2341.4	2400.7	2461.2	2522.8	2588.6	2649.6										
3100	851.5	852.1	853.7	856.5	860.3	865.2	871.2	878.4	886.6	895.9	906.3	917.9	930.5	944.2	959	974.9	991.9	1010	1029.2	1049.6	1071	1093.5	1117.1	1141.8	1167.7	1194.6	1222.6	1251.8	1282.1	1313.4	1345.9	1379.5	1414.2	1450	1487	1525	1564.2	1604.9	1645.9	1618.4	1732.1	1776.8	1822.7	1869.8	1917.9	1967.3	2017.7	2069.3	2122	2175.9	2230.9	2287.1	2344.4																
3200	908	908.5	910.2	912.9	916.8	921.7	927.8	934.9	943.2	952.5	963	974.6	987.2	1001	1015.9	1031.8	1048.9	1067.1	1086.4	1106.8	1128.3	1150.9	1174.6	1199.5	1225.4	1252.5	1280.6	1309.9	1340.3	1371.8	1404.4	1438.1	1473	1509	1546.1	1584.3	1623.7	1664.1	1705.7	1748.4	1798.3	1837.3	1883.5	1930.7	1919.1	2028.7																							
3300	966.2	966.7	968.4	971.2	975	980	986.1	993.3	1001.6	1011	1021.5	1033.1	1045.8	1059.6	1074.6	1090.6	1107.8	1126	1145.4	1165.9	1187.5	1210.2	1234	1259	1285	1312.2	1340.5	1369.9	1400.4	1432.1	1464.8	1498.7	1533.8	1569.9	1607.2	1645.6	1685.1	1725.8	1725.8																														
3400	1026.3	1026.8	1028.5	1031.3	1035.1	1040.1	1046.3	1053.5	1061.8	1071.2	1081.8	1093.5	1106.2	1120.1	1135.1	1151.2	1168.5	1186.8	1206.3	1226.9	1248.6	1271.4	1295.3	1320.4	1346.6	1373.9	1402.4	1431.9																																									
3500	1088.4	1088.9	1090.6	1093.4	1097.3	1102.3	1108.5	1115.7																																																													
